protein	ionm	id	mz	mzcorr	intensity	cls	headgroup1	rtmean	rtms2	rtlow	rtup	headgroup	lyso	pref	carb	unsat	fa1p	fa1c	fa1u	fa2p	fa2c	fa2u	fa3p	fa3c	fa3u	fullhgroup	mhgroup	uhgroup	hgcc	cc	hgfa	ccfa	screen
CRABP2	pos	27	1308.40258514503	1308.3953	120000	III.6	unknown	17.22	18.656601	17.13	17.34	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	pos	28	1472.44679853812	1472.4386	120000	III.6	unknown	18.62	17.234142	18.3	18.72	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	pos	29	546.492042850752	546.489	85000	III.2	ambigous	1.54	1.5815872	1.14	1.63	Cer		d	35.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(35:4)	35:4	NA	NA	A
CRABP2	pos	29	546.492042850752	546.489	85000	III.2	ambigous	1.54	1.5815872	1.14	1.63	Cer		d	33.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(33:1)	33:1	NA	NA	A
CRABP2	pos	30	576.534810127949	576.5316	57000	IV	ambigous	10.27	12.610253	8.83	11.3	Cer		d	37.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(37:3)	37:3	NA	NA	A
CRABP2	pos	30	576.534810127949	576.5316	57000	IV	ambigous	10.27	12.610253	8.83	11.3	Cer		d	35.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(35:0)	35:0	NA	NA	A
CRABP2	pos	31	1456.42740934266	1456.4193	53000	III.6	unknown	17.96	19.095113	17.9	18.03	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	pos	32	673.592850544109	673.5891	44000	IV	ambigous	6.41	19.101251	6.17	6.68	SE			47.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	SE	ambiguous	SE	SE(47:5)	47:5	NA	NA	A
CRABP2	pos	32	673.592850544109	673.5891	44000	IV	ambigous	6.41	19.101251	6.17	6.68	Cer		t	42.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(42:6)	42:6	NA	NA	A
CRABP2	pos	32	673.592850544109	673.5891	44000	IV	ambigous	6.41	19.101251	6.17	6.68	SE			45.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	SE	ambiguous	SE	SE(45:2)	45:2	NA	NA	A
CRABP2	pos	33	558.483209617197	558.4801	40000	IV	ambigous	2.38	11.784186	1.43	2.5	Cer		d	36.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(36:5)	36:5	NA	NA	A
CRABP2	pos	33	558.483209617197	558.4801	40000	IV	ambigous	2.38	11.784186	1.43	2.5	Cer		d	34.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(34:2)	34:2	NA	NA	A
CRABP2	pos	34	1042.34500374467	1042.3392	36000	II	PIP	13.62	14.790326	13.44	13.79	PI			31.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	PIP	PIP	PIP(31:6)	31:6	NA	NA	A
CRABP2	pos	35	895.29968500089	895.2947	30000	III.6	unknown	10.97	12.315316	10.81	11.26	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	pos	36	439.353646307482	439.3512	21000	II	FA	7.24	1.3973052	6.97	7.4	FA			28.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	FA	FA	FA	FA(28:4)	28:4	NA	NA	A
CRABP2	pos	37	518.459786768019	518.4569	21000	II	Cer	1.21	10.317561	1.06	1.25	Cer		d	31.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	Cer	Cer	Cer(31:1)	31:1	NA	NA	A
CRABP2	pos	38	538.152296415302	538.1493	8500	III.6	unknown	10.26	6.5988142	9.64	10.67	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	pos	39	1101.34213223885	1101.336	8300	III.6	unknown	18.5	16.764992	18.34	18.76	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	neg	0	870.80417483648	870.7949	1400000	III.5	unknown	19.47	23.218635	14.16	19.8	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	neg	1	1373.72933143527	1373.7147	92000	II	PIP	18.84	NaN	18.2	20.46	PI			52.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	PIP	PIP	PIP(52:1)	52:1	NA	NA	A
CRABP2	neg	2	1253.75875364226	1253.7454	56000	II	GM	22.9	NaN	22.3	23.19	GM3		d	42.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	GM3	GM	GM	GM(42:6)	42:6	NA	NA	A
CRABP2	neg	3	1236.75767256567	1236.7445	36000	III.6	unknown	17.51	NaN	16.88	18.02	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	neg	4	1180.44377277271	1180.4312	44000	III.6	unknown	22.72	NaN	22.3	23.15	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	neg	5	1463.7135898474	1463.698	43000	III.6	unknown	22.92	NaN	22.41	23.23	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
CRABP2	neg	6	1252.74934289114	1252.736	39000	III.6	unknown	16.82	NaN	16.54	17.29	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP1	pos	0	429.239900772078	429.2371	1600000	III.2	unknown	6.08	5.9829506	4.34	11.1	PE			12.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	NA	NA	PE(12:0)	12:0	NA	NA	A
FABP1	pos	0	429.239900772078	429.2371	1600000	III.2	unknown	6.08	5.9829506	4.34	11.1	PC			9.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	NA	NA	PC(9:0)	9:0	NA	NA	A
FABP1	pos	1	404.40943875437	404.4068	1000000	III.6	unknown	6.92	8.103485	6.64	11.96	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP1	pos	2	523.26941431065	523.266	360000	IV	ambiguous	21.32	4.8687962	17.58	23.48	PG			18.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PG	ambiguous	PG	PG(18:2)	18:2	NA	NA	A
FABP1	pos	2	523.26941431065	523.266	360000	IV	ambiguous	21.32	4.8687962	17.58	23.48	BMP			18.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	BMP	ambiguous	BMP	BMP(18:2)	18:2	NA	NA	A
FABP1	neg	0	353.21197359	353.208	33000	III.2	unknown	3.41	3.3924337	2.21	3.54	PA	Lyso	O	13.0	0.0	O	13.0	0.0		NaN	NaN		NaN	NaN	LysoPA-O	NA	LysoPA-O	LysoPA-O(13:0)	13:0	LysoPA-O(13:0)	13:0	A
FABP1	neg	1	501.128037627	501.1224	7900	III.5	unknown	2.15	2.1598799	1.82	2.25	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP1	neg	2	421.227438755375	421.2227	6200	III.2	unknown	2.28	2.2965185	2.01	2.35	PA		O	17.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	NA	PA-O	PA-O(17:1)	17:1	NA	NA	A
FABP2	pos	0	552.321703875602	552.3181	210000	IV	ambiguous	4.77	NaN	2.56	4.89	PS	Lyso		20.0	1.0		20.0	1.0		NaN	NaN		NaN	NaN	LysoPS	ambiguous	LysoPS	LysoPS(20:1)	20:1	LysoPS(20:1)	20:1	A
FABP2	pos	0	552.321703875602	552.3181	210000	IV	ambiguous	4.77	NaN	2.56	4.89	PS		O	20.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PS-O	ambiguous	PS-O	PS-O(20:1)	20:1	NA	NA	A
FABP2	pos	0	552.321703875602	552.3181	210000	IV	ambiguous	4.77	NaN	2.56	4.89	PG	Lyso		20.0	3.0		20.0	3.0		NaN	NaN		NaN	NaN	LysoPG	ambiguous	LysoPG	LysoPG(20:3)	20:3	LysoPG(20:3)	20:3	A
FABP2	pos	1	424.28236842439	424.2796	210000	III.2	unknown	5.44	5.4486902	5.01	5.76	LysoPE	Lyso	O	15.0	1.0	O	15.0	1.0		NaN	NaN		NaN	NaN	LysoPE-O	NA	LysoPE-O	LysoPE-O(15:1)	15:1	LysoPE-O(15:1)	15:1	A
FABP2	pos	2	289.22308716833	289.2212	68000	III.6	unknown	3.89	1.787993	2.14	6.51	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP2	neg	0	583.237861352125	583.2313	40000	III.5	unknown	6.77	6.6927365	6.49	6.98	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP2	neg	1	623.140610253	623.1336	35000	III.5	unknown	4.27	4.3171324	3.15	4.86	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP3	pos	0	982.282609352205	982.2762	11000000	III.5	unknown	16.9	16.828784	16.76	17.66	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP3	pos	1	1266.2263620731	1266.2181	160000	III.6	unknown	16.5	NaN	16.3	16.73	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP3	pos	2	865.250945725583	865.2453	120000	III.5	unknown	14.35	14.41884	14.03	14.55	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP3	pos	3	825.696687635732	825.6913	8700	IV	ambiguous	12.32	18.590513	11.94	12.79	TAG			50.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	ambiguous	TAG	TAG(50:5)	50:5	NA	NA	A
FABP3	pos	3	825.696687635732	825.6913	8700	IV	ambiguous	12.32	18.590513	11.94	12.79	HexCer		d	42.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	ambiguous	HexCer	HexCer(42:3)	42:3	NA	NA	A
FABP3	pos	3	825.696687635732	825.6913	8700	IV	ambiguous	12.32	18.590513	11.94	12.79	TAG			48.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	ambiguous	TAG	TAG(48:2)	48:2	NA	NA	A
FABP3	pos	4	1099.33107308845	1099.3239	7500	III.6	unknown	18.74	20.447469	18.33	18.75	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP3	pos	5	880.46414499106	880.4584	5000	II	SHexCer	9.89	8.2602627	8.94	10.16	SHex2Cer		d	28.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	SHex2Cer	SHexCer	SHexCer	SHexCer(28:1)	28:1	NA	NA	A
FABP3	pos	6	907.264119859755	907.2582	4700	III.6	unknown	4.31	15.871514	3.93	4.94	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP4	pos	0	479.49632869313	479.4932	110000	III.5	unknown	6.53	7.0246415	6.16	7.12	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP4	pos	1	1471.44800113556	1471.4384	52000	III.6	unknown	18.61	21.014263	18.41	18.66	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP4	pos	2	700.552271073743	700.5477	17000	II	LysoPC	1.34	5.0805177	1.24	1.44	LysoPC	Lyso	O	30.0	0.0	O	30.0	0.0		NaN	NaN		NaN	NaN	LysoPC-O	LysoPC	LysoPC	LysoPC(30:0)	30:0	LysoPC(30:0)	30:0	A
FABP4	neg	0	1420.72618298975	1420.7102	260000	III.6	unknown	20.5	NaN	19.78	23.26	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	0	318.190188994438	318.1882	6400000	III.5	unknown	1.11	1.1424029	0.84	1.22	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	1	297.24145804474	297.2396	2400000	III.2	unknown	1.25	1.2185878	0.84	1.49	Monoalkylglycerol		O	13.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG-O	NA	MAG-O	MAG-O(13:0)	13:0	NA	NA	A
FABP5	pos	2	330.205464101453	330.2034	1500000	III.5	unknown	2.15	2.1286293	1.03	2.29	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	3	374.325239892448	374.3229	1100000	III.2	unknown	1.33	1.2925914	0.95	5.63	Cer		t	21.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	NA	NA	Cer(21:0)	21:0	NA	NA	A
FABP5	pos	3	374.325239892448	374.3229	1100000	III.2	unknown	1.33	1.2925914	0.95	5.63	MAG			18.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(18:1)	18:1	NA	NA	A
FABP5	pos	4	273.220807892594	273.2191	1000000	III.5	unknown	2.38	2.3805525	0.97	4.53	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	5	301.163582561787	301.1617	940000	III.5	unknown	1.11	1.1230572	0.84	1.22	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	6	580.49322864049	580.4896	820000	II	DAG	9.97	NaN	9.49	15.0	DAG			32.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	DAG	DAG	DAG(32:3)	32:3	NA	NA	A
FABP5	pos	7	606.509691268381	606.5059	510000	III.2	unknown	6.97	7.0041118	5.18	8.15	DAG			34.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	NA	DAG	DAG(34:4)	34:4	NA	NA	A
FABP5	pos	8	418.315614874563	418.313	420000	III.6	unknown	2.68	4.6056767	1.03	4.65	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	9	348.288477137661	348.2863	320000	II	FA	3.7	NaN	1.32	5.06	FA			22.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	FA	FA	FA	FA(22:5)	22:5	NA	NA	A
FABP5	pos	10	402.320414889193	402.3179	200000	III.6	unknown	1.79	NaN	1.03	4.89	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	11	612.443928363065	612.4401	170000	III.2	unknown	1.37	1.3974365	1.03	1.45	HexCer		d	26.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	NA	NA	HexCer(26:0)	26:0	NA	NA	A
FABP5	pos	11	612.443928363065	612.4401	170000	III.2	unknown	1.37	1.3974365	1.03	1.45	CerP		d	32.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	CerP	NA	NA	CerP(32:1)	32:1	NA	NA	A
FABP5	pos	12	390.320239876568	390.3178	170000	III.6	unknown	1.99	NaN	0.97	3.93	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	13	444.331577499329	444.3288	160000	III.5	unknown	4.44	4.3174787	1.94	4.69	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	14	1081.31875928131	1081.312	150000	III.6	unknown	21.83	17.499971	20.29	23.09	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	15	667.339971516086	667.3358	150000	II	PI	1.04	NaN	0.86	1.47	PI			22.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PI	PI	PI	PI(22:2)	22:2	NA	NA	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	PE		O	31.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(31:4)	31:4	NA	NA	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	LysoPC	Lyso		28.0	4.0		28.0	4.0		NaN	NaN		NaN	NaN	LysoPC	ambiguous	LysoPC	LysoPC(28:4)	28:4	LysoPC(28:4)	28:4	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	PA		O	33.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(33:5)	33:5	NA	NA	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	HexCerOH		t	28.0	0.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	ambiguous	HexCerOH	HexCerOH(28:0)	28:0	NA	NA	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	LysoPC	Lyso		26.0	1.0		26.0	1.0		NaN	NaN		NaN	NaN	LysoPC	ambiguous	LysoPC	LysoPC(26:1)	26:1	LysoPC(26:1)	26:1	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	PE		O	29.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(29:1)	29:1	NA	NA	A
FABP5	pos	16	656.467603553338	656.4635	100000	IV	ambiguous	1.33	5.2639367	1.03	1.45	PC		O	26.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(26:1)	26:1	NA	NA	A
FABP5	pos	17	421.203632927451	421.201	110000	III.5	unknown	3.76	3.7943843	2.8	3.93	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	18	700.231777121477	700.2274	96000	III.6	unknown	16.99	10.027132	15.28	22.27	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	19	482.434415678681	482.4314	68000	III.5	unknown	2.1	2.1549354	1.45	2.33	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	20	598.505941237252	598.5022	51000	III.6	unknown	7.28	8.3058944	6.88	10.23	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	pos	21	880.464803751084	880.4593	8100	II	SHex2Cer	9.8	8.1920178	8.89	10.23	SHex2Cer		d	28.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	SHex2Cer	SHex2Cer	SHex2Cer	SHex2Cer(28:1)	28:1	NA	NA	A
FABP5	neg	0	1255.76980519957	1255.7564	150000	II	GM	19.69	NaN	18.29	21.94	GM3		d	42.0	5.0		NaN	NaN		NaN	NaN		NaN	NaN	GM3	GM	GM	GM(42:5)	42:5	NA	NA	A
FABP5	neg	1	1252.75787304754	1252.7445	170000	III.6	unknown	20.24	NaN	18.71	23.26	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	2	1458.72807175594	1458.7125	39000	III.6	unknown	21.36	NaN	20.45	22.82	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	3	1315.75314551489	1315.7391	31000	III.6	unknown	20.96	NaN	19.96	22.29	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	4	430.054090778413	430.0495	26000	III.5	unknown	1.26	1.2460832	0.96	1.52	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	5	438.103976710027	438.0993	19000	III.5	unknown	1.32	1.323689	1.0	1.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	6	474.08066075703	474.0756	16000	III.5	unknown	1.32	1.3544012	0.96	1.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	7	476.07788207714	476.0728	14000	III.5	unknown	1.27	1.3620533	0.96	1.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	8	404.10631378885	404.102	10000	III.5	unknown	1.37	1.3697053	1.16	1.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP5	neg	9	438.08507650827	438.0804	7200	III.5	unknown	1.32	1.423982	0.96	1.44	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP6	pos	0	273.224207913848	273.2225	240000	III.5	unknown	2.47	2.380333	1.69	4.47	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP6	pos	1	742.582841856328	742.5782	150000	IV	ambiguous	6.64	NaN	6.26	7.45	PE		O	37.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PE-O	ambiguous	PE-O	PE-O(37:3)	37:3	NA	NA	A
FABP6	pos	1	742.582841856328	742.5782	150000	IV	ambiguous	6.64	NaN	6.26	7.45	PC		O	34.0	3.0		NaN	NaN		NaN	NaN		NaN	NaN	PC-O	ambiguous	PC-O	PC-O(34:3)	34:3	NA	NA	A
FABP6	pos	1	742.582841856328	742.5782	150000	IV	ambiguous	6.64	NaN	6.26	7.45	HexCerOH		t	36.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCerOH	ambiguous	HexCerOH	HexCerOH(36:2)	36:2	NA	NA	A
FABP6	pos	1	742.582841856328	742.5782	150000	IV	ambiguous	6.64	NaN	6.26	7.45	SM		d	36.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	ambiguous	SM	SM(36:4)	36:4	NA	NA	A
FABP6	pos	1	742.582841856328	742.5782	150000	IV	ambiguous	6.64	NaN	6.26	7.45	PA		O	39.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(39:4)	39:4	NA	NA	A
FABP6	pos	2	666.579566762825	666.5754	24000	IV	ambiguous	15.89	12.224457	15.62	16.3	Cer		d	44.0	7.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(44:7)	44:7	NA	NA	A
FABP6	pos	2	666.579566762825	666.5754	24000	IV	ambiguous	15.89	12.224457	15.62	16.3	Cer		d	42.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(42:4)	42:4	NA	NA	A
FABP7	neg	0	475.886838833952	475.8821	480000	III.6	unknown	3.74	NaN	3.03	9.04	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FABP7	neg	1	1053.88609449322	1053.8756	36000	III.2	unknown	18.99	18.9955	18.94	19.1	TAG			67.0	9.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	NA	TAG	TAG(67:9)	67:9	NA	NA	A
FABP7	neg	2	433.333015087195	433.3287	32000	III.2	unknown	1.53	1.5217794	0.94	1.63	MAG			24.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	MAG	NA	NA	MAG(24:4)	24:4	NA	NA	A
FABP7	neg	2	433.333015087195	433.3287	32000	III.2	unknown	1.53	1.5217794	0.94	1.63	FA			26.0	4.0		NaN	NaN		NaN	NaN		NaN	NaN	FA	NA	NA	FA(26:4)	26:4	NA	NA	A
FABP7	neg	3	515.371132014628	515.366	6600	III.5	unknown	3.49	3.5224528	2.91	3.66	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FAPP2	pos	0	760.581939612886	760.5767	350000	IV	ambiguous	10.68	12.108876	10.43	11.14	PC			34.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PC	ambiguous	PC	PC(34:1)	34:1	NA	NA	A
FAPP2	pos	0	760.581939612886	760.5767	350000	IV	ambiguous	10.68	12.108876	10.43	11.14	PE			37.0	1.0		NaN	NaN		NaN	NaN		NaN	NaN	PE	ambiguous	PE	PE(37:1)	37:1	NA	NA	A
FAPP2	pos	0	760.581939612886	760.5767	350000	IV	ambiguous	10.68	12.108876	10.43	11.14	HexCer		d	39.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	HexCer	ambiguous	HexCer	HexCer(39:6)	39:6	NA	NA	A
FAPP2	pos	0	760.581939612886	760.5767	350000	IV	ambiguous	10.68	12.108876	10.43	11.14	PA			39.0	2.0		NaN	NaN		NaN	NaN		NaN	NaN	PA	ambiguous	PA	PA(39:2)	39:2	NA	NA	A
FAPP2	pos	0	760.581939612886	760.5767	350000	IV	ambiguous	10.68	12.108876	10.43	11.14	DAG			46.0	11.0		NaN	NaN		NaN	NaN		NaN	NaN	DAG	ambiguous	DAG	DAG(46:11)	46:11	NA	NA	A
FAPP2	neg	0	477.210190028216	477.2048	2800000	III.5	unknown	4.77	4.7635724	0.86	4.89	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FAPP2	neg	1	514.894915672385	514.8891	2200000	III.5	unknown	23.71	23.737935	18.61	23.99	NA			NaN	NaN		NaN	NaN		NaN	NaN		NaN	NaN	NA	NA	NA	NA	NA	NA	NA	A
FAPP2	neg	2	1003.77973756408	1003.7684	310000	IV	ambiguous	10.21	NaN	8.58	15.58	TAG			64.0	13.0		NaN	NaN		NaN	NaN		NaN	NaN	TAG	ambiguous	TAG	TAG(64:13)	64:13	NA	NA	A
FAPP2	neg	2	1003.77973756408	1003.7684	310000	IV	ambiguous	10.21	NaN	8.58	15.58	Cer		d	56.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	Cer	ambiguous	Cer	Cer(56:6)	56:6	NA	NA	A
FAPP2	neg	2	1003.77973756408	1003.7684	310000	IV	ambiguous	10.21	NaN	8.58	15.58	PA		O	56.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	PA-O	ambiguous	PA-O	PA-O(56:6)	56:6	NA	NA	A
FAPP2	neg	2	1003.77973756408	1003.7684	310000	IV	ambiguous	10.21	NaN	8.58	15.58	SM		d	53.0	6.0		NaN	NaN		NaN	NaN		NaN	NaN	SM	ambiguous	SM	SM(53:6)	53:6	NA	NA	A
